acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
38.0,-248.0,26.0,50.0,3.0,-28.0,128.0,-1018.0,134.0
39.0,-250.0,28.0,51.0,3.0,-27.0,134.0,-1019.0,128.0
39.0,-246.0,26.0,52.0,4.0,-28.0,129.0,-1022.0,135.0
37.0,-248.0,29.0,54.0,6.0,-30.0,130.0,-1021.0,126.0
38.0,-245.0,23.0,55.0,6.0,-31.0,127.0,-1019.0,136.0
34.0,-247.0,34.0,56.0,6.0,-32.0,129.0,-1016.0,137.0
39.0,-248.0,24.0,56.0,7.0,-32.0,128.0,-1017.0,134.0
37.0,-247.0,23.0,56.0,7.0,-31.0,127.0,-1006.0,136.0
37.0,-246.0,29.0,55.0,8.0,-31.0,129.0,-1011.0,130.0
36.0,-248.0,30.0,54.0,9.0,-29.0,121.0,-1013.0,132.0
36.0,-246.0,29.0,54.0,10.0,-29.0,124.0,-1019.0,134.0
33.0,-247.0,20.0,52.0,11.0,-29.0,119.0,-1020.0,124.0
33.0,-249.0,28.0,54.0,13.0,-27.0,127.0,-1022.0,137.0
34.0,-251.0,29.0,54.0,14.0,-28.0,123.0,-1032.0,122.0
34.0,-249.0,30.0,56.0,14.0,-29.0,118.0,-1027.0,130.0
39.0,-250.0,27.0,56.0,14.0,-29.0,123.0,-1022.0,133.0
35.0,-252.0,24.0,57.0,13.0,-28.0,119.0,-1022.0,126.0
33.0,-248.0,27.0,59.0,11.0,-28.0,119.0,-1023.0,122.0
35.0,-251.0,26.0,61.0,9.0,-28.0,122.0,-1023.0,123.0
36.0,-251.0,22.0,62.0,6.0,-30.0,127.0,-1028.0,124.0
35.0,-252.0,26.0,63.0,5.0,-30.0,126.0,-1025.0,121.0
33.0,-249.0,27.0,66.0,4.0,-31.0,128.0,-1026.0,125.0
35.0,-250.0,30.0,69.0,5.0,-30.0,118.0,-1023.0,118.0
38.0,-250.0,27.0,70.0,5.0,-33.0,125.0,-1027.0,128.0
37.0,-248.0,24.0,73.0,5.0,-33.0,122.0,-1022.0,132.0
35.0,-248.0,26.0,74.0,6.0,-35.0,128.0,-1019.0,124.0
34.0,-246.0,27.0,74.0,8.0,-36.0,129.0,-1019.0,122.0
39.0,-248.0,22.0,73.0,8.0,-38.0,129.0,-1016.0,123.0
36.0,-246.0,25.0,72.0,7.0,-38.0,128.0,-1023.0,125.0
37.0,-249.0,26.0,71.0,7.0,-38.0,127.0,-1015.0,128.0
36.0,-247.0,26.0,70.0,8.0,-39.0,128.0,-1018.0,131.0
39.0,-247.0,27.0,69.0,8.0,-38.0,128.0,-1021.0,128.0
37.0,-250.0,26.0,68.0,7.0,-39.0,126.0,-1017.0,126.0
37.0,-249.0,24.0,67.0,8.0,-38.0,132.0,-1019.0,133.0
32.0,-251.0,25.0,66.0,8.0,-36.0,126.0,-1026.0,127.0
40.0,-251.0,29.0,68.0,7.0,-38.0,131.0,-1028.0,123.0
36.0,-250.0,25.0,67.0,5.0,-35.0,131.0,-1022.0,123.0
38.0,-250.0,25.0,69.0,4.0,-37.0,126.0,-1029.0,132.0
36.0,-252.0,28.0,71.0,3.0,-37.0,128.0,-1019.0,128.0
39.0,-251.0,26.0,72.0,2.0,-38.0,127.0,-1017.0,132.0
36.0,-252.0,27.0,75.0,1.0,-39.0,130.0,-1025.0,129.0
34.0,-250.0,30.0,77.0,-2.0,-39.0,131.0,-1023.0,129.0
34.0,-253.0,26.0,80.0,0.0,-43.0,125.0,-1028.0,128.0
37.0,-250.0,24.0,84.0,0.0,-44.0,125.0,-1022.0,126.0
39.0,-255.0,27.0,90.0,-1.0,-47.0,128.0,-1028.0,136.0
36.0,-252.0,27.0,95.0,0.0,-48.0,131.0,-1027.0,139.0
37.0,-254.0,34.0,103.0,2.0,-51.0,127.0,-1028.0,138.0
36.0,-250.0,24.0,112.0,3.0,-51.0,123.0,-1023.0,130.0
35.0,-252.0,25.0,118.0,6.0,-52.0,127.0,-1027.0,132.0
41.0,-249.0,26.0,123.0,8.0,-54.0,130.0,-1021.0,135.0
36.0,-246.0,26.0,127.0,9.0,-54.0,130.0,-1018.0,132.0
37.0,-247.0,28.0,128.0,12.0,-55.0,129.0,-1016.0,133.0
