acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
13.0,-246.0,4.0,-76.0,-3.0,-2.0,45.0,-966.0,139.0
11.0,-246.0,-1.0,-74.0,-4.0,-2.0,52.0,-964.0,128.0
18.0,-245.0,2.0,-70.0,-3.0,-2.0,50.0,-964.0,127.0
14.0,-245.0,4.0,-69.0,-3.0,-2.0,58.0,-967.0,133.0
14.0,-247.0,1.0,-69.0,-2.0,-3.0,56.0,-964.0,128.0
16.0,-247.0,-5.0,-70.0,-2.0,0.0,56.0,-965.0,131.0
16.0,-246.0,-7.0,-72.0,1.0,0.0,59.0,-960.0,123.0
16.0,-244.0,-1.0,-73.0,3.0,1.0,61.0,-962.0,125.0
18.0,-250.0,-1.0,-75.0,6.0,1.0,60.0,-958.0,125.0
20.0,-246.0,-3.0,-78.0,9.0,2.0,65.0,-967.0,119.0
17.0,-250.0,-3.0,-81.0,11.0,3.0,61.0,-963.0,123.0
18.0,-248.0,0.0,-81.0,10.0,2.0,65.0,-970.0,124.0
21.0,-248.0,2.0,-79.0,10.0,2.0,65.0,-968.0,124.0
18.0,-248.0,0.0,-76.0,10.0,3.0,66.0,-974.0,121.0
20.0,-251.0,-3.0,-72.0,10.0,2.0,67.0,-971.0,123.0
20.0,-248.0,-1.0,-67.0,9.0,2.0,68.0,-970.0,121.0
17.0,-246.0,-2.0,-64.0,8.0,3.0,63.0,-971.0,120.0
22.0,-249.0,-8.0,-60.0,7.0,3.0,67.0,-970.0,122.0
20.0,-249.0,-1.0,-55.0,5.0,3.0,68.0,-968.0,118.0
17.0,-246.0,-3.0,-55.0,6.0,2.0,68.0,-967.0,118.0
17.0,-244.0,-6.0,-55.0,7.0,4.0,63.0,-962.0,115.0
20.0,-247.0,0.0,-53.0,5.0,3.0,70.0,-966.0,115.0
20.0,-249.0,-4.0,-52.0,6.0,3.0,65.0,-960.0,111.0
20.0,-250.0,-4.0,-53.0,7.0,2.0,65.0,-962.0,115.0
17.0,-247.0,-3.0,-52.0,7.0,3.0,68.0,-962.0,116.0
20.0,-246.0,-3.0,-53.0,7.0,3.0,74.0,-962.0,114.0
20.0,-238.0,-1.0,-55.0,8.0,3.0,69.0,-958.0,114.0
19.0,-245.0,-4.0,-57.0,8.0,4.0,67.0,-965.0,115.0
20.0,-243.0,-6.0,-58.0,8.0,4.0,71.0,-962.0,116.0
21.0,-248.0,1.0,-59.0,11.0,3.0,69.0,-965.0,118.0
20.0,-245.0,-1.0,-59.0,10.0,3.0,72.0,-964.0,120.0
20.0,-246.0,-1.0,-63.0,12.0,2.0,71.0,-972.0,118.0
18.0,-247.0,0.0,-62.0,11.0,3.0,72.0,-967.0,117.0
22.0,-250.0,-1.0,-63.0,11.0,2.0,72.0,-967.0,122.0
21.0,-247.0,0.0,-62.0,12.0,3.0,67.0,-971.0,120.0
19.0,-250.0,-3.0,-64.0,13.0,2.0,67.0,-968.0,119.0
20.0,-244.0,-4.0,-65.0,17.0,3.0,67.0,-965.0,124.0
25.0,-243.0,-6.0,-63.0,18.0,2.0,63.0,-965.0,126.0
18.0,-247.0,1.0,-66.0,20.0,1.0,62.0,-970.0,124.0
17.0,-246.0,2.0,-66.0,22.0,2.0,64.0,-966.0,128.0
19.0,-246.0,0.0,-66.0,23.0,0.0,66.0,-966.0,124.0
18.0,-247.0,-5.0,-68.0,25.0,0.0,68.0,-969.0,120.0
18.0,-246.0,-1.0,-67.0,23.0,-2.0,63.0,-964.0,126.0
18.0,-246.0,-1.0,-67.0,21.0,-2.0,61.0,-969.0,124.0
18.0,-245.0,-1.0,-67.0,21.0,-1.0,62.0,-962.0,124.0
14.0,-246.0,3.0,-68.0,22.0,-2.0,66.0,-966.0,122.0
21.0,-250.0,-4.0,-65.0,22.0,-3.0,61.0,-966.0,123.0
20.0,-251.0,-2.0,-64.0,21.0,-4.0,62.0,-972.0,122.0
15.0,-247.0,-2.0,-63.0,22.0,-3.0,63.0,-969.0,126.0
17.0,-248.0,1.0,-62.0,24.0,-6.0,61.0,-966.0,130.0
17.0,-249.0,4.0,-61.0,25.0,-7.0,70.0,-968.0,127.0
20.0,-249.0,-2.0,-60.0,24.0,-6.0,68.0,-968.0,126.0
20.0,-247.0,-4.0,-59.0,23.0,-8.0,65.0,-967.0,130.0
17.0,-246.0,0.0,-61.0,24.0,-9.0,64.0,-974.0,122.0
20.0,-249.0,0.0,-60.0,25.0,-8.0,69.0,-969.0,120.0
18.0,-248.0,-2.0,-58.0,25.0,-8.0,69.0,-968.0,119.0
19.0,-246.0,-2.0,-58.0,24.0,-7.0,65.0,-966.0,121.0
23.0,-249.0,-2.0,-57.0,26.0,-8.0,71.0,-970.0,116.0
20.0,-250.0,-5.0,-56.0,26.0,-8.0,66.0,-965.0,116.0
20.0,-247.0,-2.0,-54.0,26.0,-8.0,65.0,-967.0,112.0
