acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
-5.0,-262.0,-7.0,-40.0,173.0,7.0,-13.0,-1038.0,-64.0
-10.0,-266.0,-7.0,-39.0,169.0,7.0,-13.0,-1048.0,-63.0
-7.0,-266.0,-5.0,-40.0,166.0,6.0,-13.0,-1034.0,-67.0
-9.0,-263.0,-4.0,-39.0,164.0,6.0,-16.0,-1035.0,-57.0
-12.0,-263.0,-8.0,-38.0,162.0,7.0,-16.0,-1050.0,-64.0
-7.0,-264.0,-2.0,-37.0,159.0,7.0,-16.0,-1042.0,-63.0
-11.0,-265.0,-5.0,-35.0,156.0,6.0,-15.0,-1036.0,-61.0
-12.0,-265.0,-8.0,-32.0,153.0,7.0,-20.0,-1040.0,-66.0
-14.0,-262.0,-5.0,-30.0,149.0,7.0,-23.0,-1036.0,-59.0
-11.0,-263.0,-8.0,-30.0,144.0,6.0,-23.0,-1046.0,-64.0
-15.0,-261.0,-8.0,-28.0,140.0,5.0,-21.0,-1042.0,-56.0
-11.0,-263.0,-4.0,-24.0,135.0,6.0,-23.0,-1034.0,-60.0
-15.0,-264.0,-6.0,-23.0,131.0,4.0,-24.0,-1034.0,-61.0
-13.0,-264.0,-3.0,-23.0,125.0,5.0,-21.0,-1038.0,-56.0
-14.0,-259.0,-7.0,-23.0,121.0,7.0,-28.0,-1035.0,-57.0
-12.0,-265.0,-4.0,-25.0,115.0,6.0,-20.0,-1032.0,-55.0
-15.0,-262.0,-11.0,-26.0,110.0,7.0,-29.0,-1042.0,-63.0
-13.0,-263.0,-4.0,-28.0,104.0,6.0,-26.0,-1044.0,-59.0
-11.0,-265.0,-6.0,-28.0,98.0,7.0,-25.0,-1037.0,-63.0
-10.0,-264.0,-4.0,-28.0,95.0,7.0,-30.0,-1037.0,-60.0
-14.0,-262.0,-6.0,-28.0,91.0,4.0,-24.0,-1039.0,-62.0
-11.0,-264.0,-7.0,-27.0,86.0,5.0,-21.0,-1038.0,-61.0
-15.0,-262.0,-11.0,-25.0,83.0,6.0,-23.0,-1035.0,-64.0
-16.0,-272.0,2.0,-25.0,78.0,5.0,-16.0,-1042.0,-60.0
-10.0,-257.0,-17.0,-24.0,75.0,3.0,-18.0,-1030.0,-65.0
-10.0,-266.0,-9.0,-25.0,72.0,3.0,-14.0,-1036.0,-62.0
-8.0,-255.0,-7.0,-25.0,67.0,3.0,-14.0,-1033.0,-59.0
-5.0,-261.0,-6.0,-24.0,62.0,2.0,-18.0,-1037.0,-61.0
-9.0,-264.0,-6.0,-26.0,59.0,2.0,-20.0,-1034.0,-69.0
-20.0,-256.0,-8.0,-26.0,54.0,1.0,-21.0,-1037.0,-66.0
-3.0,-268.0,0.0,-25.0,51.0,0.0,-19.0,-1042.0,-66.0
-13.0,-264.0,-15.0,-24.0,47.0,-1.0,-18.0,-1037.0,-62.0
-9.0,-266.0,-6.0,-23.0,42.0,-2.0,-20.0,-1047.0,-67.0
-5.0,-267.0,-2.0,-20.0,39.0,-2.0,-14.0,-1045.0,-67.0
-12.0,-262.0,-14.0,-17.0,35.0,-1.0,-22.0,-1048.0,-64.0
-9.0,-270.0,-12.0,-16.0,32.0,-3.0,-21.0,-1038.0,-68.0
-10.0,-265.0,-9.0,-14.0,28.0,-3.0,-14.0,-1047.0,-65.0
-6.0,-261.0,-6.0,-11.0,26.0,-2.0,-15.0,-1044.0,-68.0
-8.0,-266.0,-16.0,-10.0,24.0,-3.0,-16.0,-1040.0,-64.0
-15.0,-227.0,-40.0,-6.0,21.0,-2.0,-16.0,-1039.0,-72.0
-8.0,-264.0,-10.0,-4.0,18.0,-2.0,-14.0,-1037.0,-68.0
-7.0,-263.0,-9.0,-1.0,16.0,-2.0,-16.0,-1038.0,-71.0
-13.0,-262.0,-8.0,1.0,17.0,-2.0,-11.0,-1036.0,-67.0
-8.0,-262.0,-9.0,3.0,12.0,1.0,-15.0,-1034.0,-71.0
-12.0,-262.0,-8.0,5.0,12.0,0.0,-12.0,-1038.0,-72.0
-8.0,-264.0,-10.0,5.0,9.0,0.0,-13.0,-1033.0,-74.0
